% Model,attempt7 - 45deg ate 600 nm.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 21 2025, 10:41"
% Table,Table 4 - Surface Integration 1
% pyramid_l (nm),D (nm),lambda0 (µm),(ewfd.normE)^4 (kg^4*m^6/(s^12*A^4))
4.749999999999999E2,3.250000000000000E2,6.330000000000000E-1,5.503378522793016E19
4.749999999999999E2,3.500000000000000E2,6.330000000000000E-1,3.084945025122065E20
4.749999999999999E2,3.749999999999999E2,6.330000000000000E-1,2.230294074865106E21
4.749999999999999E2,4.000000000000000E2,6.330000000000000E-1,5.016285646846642E20
4.749999999999999E2,4.249999999999999E2,6.330000000000000E-1,2.837810435987847E19
4.749999999999999E2,4.500000000000000E2,6.330000000000000E-1,5.286660928453200E18
4.749999999999999E2,4.749999999999999E2,6.330000000000000E-1,5.806604193802219E18
4.749999999999999E2,5.000000000000000E2,6.330000000000000E-1,1.889342402362265E20
4.749999999999999E2,5.250000000000000E2,6.330000000000000E-1,1.465003520419224E19
4.749999999999999E2,5.500000000000000E2,6.330000000000000E-1,9.111684104984879E18
4.749999999999999E2,5.749999999999999E2,6.330000000000000E-1,1.017980464170493E20
4.749999999999999E2,6.000000000000000E2,6.330000000000000E-1,1.517216029299341E20
4.749999999999999E2,6.250000000000000E2,6.330000000000000E-1,1.571050840065623E19
4.749999999999999E2,6.500000000000000E2,6.330000000000000E-1,1.673195617377519E19
4.749999999999999E2,6.749999999999999E2,6.330000000000000E-1,2.591891663845139E19
4.749999999999999E2,7.000000000000000E2,6.330000000000000E-1,4.169971913655507E19
5.000000000000000E2,0.000000000000000E0,6.330000000000000E-1,5.634500175312235E19
5.000000000000000E2,2.500000000000000E1,6.330000000000000E-1,4.916822831491324E19
5.000000000000000E2,5.000000000000000E1,6.330000000000000E-1,5.317759798501388E19
5.000000000000000E2,7.500000000000000E1,6.330000000000000E-1,5.411580834846812E19
5.000000000000000E2,1.000000000000000E2,6.330000000000000E-1,5.739903698103946E19
5.000000000000000E2,1.250000000000000E2,6.330000000000000E-1,7.496104631374368E19
5.000000000000000E2,1.500000000000000E2,6.330000000000000E-1,1.023930476330088E20
5.000000000000000E2,1.750000000000000E2,6.330000000000000E-1,1.041942906267410E20
5.000000000000000E2,2.000000000000000E2,6.330000000000000E-1,9.972795960229496E19
5.000000000000000E2,2.250000000000000E2,6.330000000000000E-1,5.590235884820227E20
5.000000000000000E2,2.500000000000000E2,6.330000000000000E-1,8.591669382112404E20
5.000000000000000E2,2.750000000000000E2,6.330000000000000E-1,3.985841306527033E19
5.000000000000000E2,3.000000000000000E2,6.330000000000000E-1,3.071063609878762E19
5.000000000000000E2,3.250000000000000E2,6.330000000000000E-1,3.038590413731384E20
5.000000000000000E2,3.500000000000000E2,6.330000000000000E-1,2.260104965234931E21
5.000000000000000E2,3.749999999999999E2,6.330000000000000E-1,1.470048620817252E20
5.000000000000000E2,4.000000000000000E2,6.330000000000000E-1,4.163019986206053E19
5.000000000000000E2,4.249999999999999E2,6.330000000000000E-1,2.644279496024975E19
5.000000000000000E2,4.500000000000000E2,6.330000000000000E-1,9.985823733862425E19
5.000000000000000E2,4.749999999999999E2,6.330000000000000E-1,1.004608878245570E20
5.000000000000000E2,5.000000000000000E2,6.330000000000000E-1,2.773312935601451E19
5.000000000000000E2,5.250000000000000E2,6.330000000000000E-1,7.889026609847450E19
5.000000000000000E2,5.500000000000000E2,6.330000000000000E-1,7.251619553051586E20
5.000000000000000E2,5.749999999999999E2,6.330000000000000E-1,3.624583965814457E20
5.000000000000000E2,6.000000000000000E2,6.330000000000000E-1,9.245622943147749E19
5.000000000000000E2,6.250000000000000E2,6.330000000000000E-1,1.037214238489024E20
5.000000000000000E2,6.500000000000000E2,6.330000000000000E-1,2.145953164331080E20
5.000000000000000E2,6.749999999999999E2,6.330000000000000E-1,3.919565590494227E20
5.000000000000000E2,7.000000000000000E2,6.330000000000000E-1,1.195328399734491E21
5.250000000000000E2,0.000000000000000E0,6.330000000000000E-1,5.792488263499253E19
5.250000000000000E2,2.500000000000000E1,6.330000000000000E-1,4.339678884452724E19
5.250000000000000E2,5.000000000000000E1,6.330000000000000E-1,4.022383679403595E19
5.250000000000000E2,7.500000000000000E1,6.330000000000000E-1,4.160094394495785E19
5.250000000000000E2,1.000000000000000E2,6.330000000000000E-1,7.564171027728038E19
5.250000000000000E2,1.250000000000000E2,6.330000000000000E-1,9.044243099968945E19
5.250000000000000E2,1.500000000000000E2,6.330000000000000E-1,3.042534198634406E20
5.250000000000000E2,1.750000000000000E2,6.330000000000000E-1,3.817851950939172E20
5.250000000000000E2,2.000000000000000E2,6.330000000000000E-1,8.202456576157575E20
5.250000000000000E2,2.250000000000000E2,6.330000000000000E-1,5.033789007765166E20
5.250000000000000E2,2.500000000000000E2,6.330000000000000E-1,2.469742159840012E19
5.250000000000000E2,2.750000000000000E2,6.330000000000000E-1,1.433999736061322E19
5.250000000000000E2,3.000000000000000E2,6.330000000000000E-1,2.310306448929925E20
5.250000000000000E2,3.250000000000000E2,6.330000000000000E-1,7.219548817204195E20
5.250000000000000E2,3.500000000000000E2,6.330000000000000E-1,1.578086030936021E20
5.250000000000000E2,3.749999999999999E2,6.330000000000000E-1,4.282354567281510E20
5.250000000000000E2,4.000000000000000E2,6.330000000000000E-1,6.016057302657117E18
5.250000000000000E2,4.249999999999999E2,6.330000000000000E-1,2.476086347482289E19
5.250000000000000E2,4.500000000000000E2,6.330000000000000E-1,3.018037526301200E20
5.250000000000000E2,4.749999999999999E2,6.330000000000000E-1,1.865149339824628E20
5.250000000000000E2,5.000000000000000E2,6.330000000000000E-1,4.499066375696712E20
5.250000000000000E2,5.250000000000000E2,6.330000000000000E-1,2.934071814073775E21
5.250000000000000E2,5.500000000000000E2,6.330000000000000E-1,2.971517694812116E20
5.250000000000000E2,5.749999999999999E2,6.330000000000000E-1,1.470510206263027E20
5.250000000000000E2,6.000000000000000E2,6.330000000000000E-1,3.005359645043322E20
5.250000000000000E2,6.250000000000000E2,6.330000000000000E-1,8.223761083480730E20
5.250000000000000E2,6.500000000000000E2,6.330000000000000E-1,3.415771501265518E21
5.250000000000000E2,6.749999999999999E2,6.330000000000000E-1,7.661008652172268E21
5.250000000000000E2,7.000000000000000E2,6.330000000000000E-1,1.311410142202496E20
5.500000000000000E2,0.000000000000000E0,6.330000000000000E-1,5.647414925076195E19
5.500000000000000E2,2.500000000000000E1,6.330000000000000E-1,3.672869556747612E19
5.500000000000000E2,5.000000000000000E1,6.330000000000000E-1,2.988058815063228E19
5.500000000000000E2,7.500000000000000E1,6.330000000000000E-1,7.737649436581542E19
5.500000000000000E2,1.000000000000000E2,6.330000000000000E-1,1.573454064304064E20
5.500000000000000E2,1.250000000000000E2,6.330000000000000E-1,1.821298965796622E20
